ATL,2005
43,Shavlik Randolph,PF,6-10,240,November 24 1983,7,Duke University,PHO,2015
3,Isaiah Thomas,PG,5-9,185,February 7 1989,3,University of Washington,PHO,2015
23,Marcus Thornton,SG,6-4,205,June 5 1987,5,Louisiana State University,PHO,2015
40,Anthony Tolliver,PF,6-8,240,June 1 1985,6,Creighton University,PHO,2015
17,P.J. Tucker,SF,6-6,245,May 5 1985,3,University of Texas at Austin,PHO,2015
12,T.J. Warren,SF,6-8,230,September 5 1993,R,North Carolina State University,PHO,2015
32,Brandan Wright,PF,6-10,210,October 5 1987,6,University of North Carolina,PHO,2015
POR,2005
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,POR,2005
33,Shareef Abdur-Rahim,PF,6-9,225,December 11 1976,8,University of California,POR,2005
1,Derek Anderson,SG,6-5,194,July 18 1974,7,University of Kentucky,POR,2005
4,Maurice Baker,PG,6-1,175,July 28 1979,R,Oklahoma State University,POR,2005
4,Geno Carlisle,SG,6-3,180,August 13 1976,R,University of California,POR,2005
14,Richie Frahm,SG,6-5,210,August 14 1977,1,Gonzaga University,POR,2005
38,Viktor Khryapa,SF,6-9,210,August 3 1982,R,,POR,2005
23,Darius Miles,SF,6-9,210,October 9 1981,4,,POR,2005
25,Travis Outlaw,SF,6-9,210,September 18 1984,1,,POR,2005
21,Ruben Patterson,SF,6-5,224,July 31 1975,6,University of Cincinnati,POR,2005
10,Joel Przybilla,C,7-1,255,October 10 1979,4,University of Minnesota,POR,2005
50,Zach Randolph,PF,6-9,260,July 16 1981,3,Michigan State University,POR,2005
42,Theo Ratliff,C,6-10,225,April 17 1973,9,University of Wyoming,POR,2005
5,Ha Seung-Jin,C,7-3,305,August 4 1985,R,,POR,2005
3,Damon Stoudamire,PG,5-10,171,September 3 1973,9,University of Arizona,POR,2005
31,Sebastian Telfair,PG,6-0,165,June 9 1985,R,,POR,2005
0,James Thomas,PF,6-8,235,November 22 1980,R,University of Texas at Austin,POR,2005
19,Nick Van Exel,SG,6-1,170,November 27 1971,11,University of Cincinnati,POR,2005
POR,2006
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,POR,2006
2,Steve Blake,PG,6-3,172,February 26 1980,2,University of Maryland,POR,2006
3,Juan Dixon,SG,6-3,164,October 9 1978,3,University of Maryland,POR,2006
1,Jarrett Jack,SG,6-3,200,October 28 1983,R,Georgia Institute of Technology,POR,2006
38,Viktor Khryapa,SF,6-9,210,August 3 1982,1,,POR,2006
0,Voshon Lenard,SG,6-4,205,May 14 1973,10,University of Minnesota,POR,2006
23,Darius Miles,SF,6-9,210,October 9 1981,5,,POR,2006
12,Sergei Monia,SF,6-8,220,April 15 1983,R,,POR,2006
25,Travis Outlaw,PF,6-9,210,September 18 1984,2,,POR,2006
21,Ruben Patterson,SF,6-5,224,July 31 1975,7,University of Cincinnati,POR,2006
10,Joel Przybilla,C,7-1,255,October 10 1979,5,University of Minnesota,POR,2006
50,Zach Randolph,PF,6-9,260,July 16 1981,4,Michigan State University,POR,2006
42,Theo Ratliff,C,6-10,225,April 17 1973,10,University of Wyoming,POR,2006
5,Ha Seung-Jin,C,7-3,305,August 4 1985,1,,POR,2006
54,Brian Skinner,C,6-9,255,May 19 1976,7,Baylor University,POR,2006
7,Charles Smith,SG,6-4,194,August 22 1975,4,University of New Mexico,POR,2006
31,Sebastian Telfair,PG,6-0,165,June 9 1985,1,,POR,2006
8,Martell Webster,SF,6-7,230,December 4 1986,R,,POR,2006
POR,2007
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,POR,2007
12,LaMarcus Aldridge,C,6-11,240,July 19 1985,R,University of Texas at Austin,POR,2007
2,Dan Dickau,PG,6-0,190,September 16 1978,4,Gonzaga University,POR,2007
3,Juan Dixon,SG,6-3,164,October 9 1978,4,University of Maryland,POR,2007
24,Stephen Graham,SG,6-6,215,June 11 1982,1,Oklahoma State University,POR,2007
1,Jarrett Jack,PG,6-3,200,October 28 1983,1,Georgia Institute of Technology,POR,2007
0,Fred Jones,SG,6-4,210,March 11 1979,4,University of Oregon,POR,2007
9,Raef LaFrentz,PF,6-11,240,May 29 1976,8,University of Kansas,POR,2007
21,Jamaal Magloire,C,6-11,259,May 21 1978,6,University of Kentucky,POR,2007
25,Travis Outlaw,PF,6-9,210,September 18 1984,3,,POR,2007
10,Joel Przybilla,C,7-1,255,October 10 1979,6,University of Minnesota,POR,2007
50,Zach Randolph,PF,6-9,260,July 16 1981,5,Michigan State University,POR,2007
3,Jeremy Richardson,SF,6-6,185,February 11 1984,R,Delta State University,POR,2007
11,Sergio Rodriguez,PG,6-3,168,June 12 1986,R,,POR,2007
7,Brandon Roy,SG,6-6,215,July 23 1984,R,University of Washington,POR,2007
24,Luke Schenscher,C,7-1,255,December 31 1982,1,Georgia Institute of Technology,POR,2007
5,Ime Udoka,SF,6-6,215,August 9 1977,2,Portland State University,POR,2007
8,Martell Webster,SF,6-7,230,December 4 1986,1,,POR,2007
POR,2008
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,POR,2008
12,LaMarcus Aldridge,PF,6-11,240,July 19 1985,1,University of Texas at Austin,POR,2008
2,Steve Blake,PG,6-3,172,February 26 1980,4,University of Maryland,POR,2008
44,Channing Frye,C,6-11,255,May 17 1983,2,University of Arizona,POR,2008
0,Taurean Green,PG,6-0,177,November 28 1986,R,University of Florida,POR,2008
1,Jarrett Jack,SG,6-3,200,October 28 1983,2,Georgia Institute of Technology,POR,2008
33,James Jones,SF,6-8,218,October 4 1980,4,University of Miami,POR,2008
9,Raef LaFrentz,C,6-11,240,May 29 1976,9,University of Kansas,POR,2008
4,Josh McRoberts,PF,6-10,240,February 28 1987,R,Duke University,POR,2008
25,Travis Outlaw,PF,6-9,210,September 18 1984,4,,POR,2008
10,Joel Przybilla,C,7-1,255,October 10 1979,7,University of Minnesota,POR,2008
11,Sergio Rodriguez,PG,6-3,168,June 12 1986,1,,POR,2008
7,Brandon Roy,SG,6-6,215,July 23 1984,1,University of Washington,POR,2008
24,Von Wafer,SG,6-5,210,July 21 1985,2,Florida State University,POR,2008
8,Martell Webster,SF,6-7,230,December 4 1986,2,,POR,2008
POR,2009
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,POR,2009
12,LaMarcus Aldridge,PF,6-11,240,July 19 1985,2,University of Texas at Austin,POR,2009
88,Nicolas Batum,SF,6-8,200,December 14 1988,R,,POR,2009
4,Jerryd Bayless,PG,6-3,200,August 20 1988,R,University of Arizona,POR,2009
2,Steve Blake,PG,6-3,172,February 26 1980,5,University of Maryland,POR,2009
1,Ike Diogu,PF,6-8,250,September 11 1983,3,Arizona State University,POR,2009
5,Rudy Fernandez,SG,6-6,185,April 4 1985,R,,POR,2009
44,Channing Frye,PF,6-11,255,May 17 1983,3,University of Arizona,POR,2009
52,Greg Oden,C,7-0,250,January 22 1988,R,Ohio State University,POR,2009
25,Travis Outlaw,SF,6-9,210,September 18 1984,5,,POR,2009
10,Joel Przybilla,C,7-1,255,October 10 1979,8,University of Minnesota,POR,2009
42,Shavlik Randolph,PF,6-10,240,November 24 1983,3,Duke University,POR,2009
11,Sergio Rodriguez,PG,6-3,168,June 12 1986,2,,POR,2009
7,Brandon Roy,SG,6-6,215,July 23 1984,2,University of Washington,POR,2009
51,Michael Ruffin,PF,6-9,246,January 21 1977,8,University of Tulsa,POR,2009
8,Martell Webster,SF,6-7,230,December 4 1986,3,,POR,2009
POR,2010
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,POR,2010
12,LaMarcus Aldridge,PF,6-11,240,July 19 1985,3,University of Texas at Austin,POR,2010
31,Jeff Ayres,C,6-9,240,April 29 1987,R,Arizona State University,POR,2010
88,Nicolas Batum,SF,6-8,200,December 14 1988,1,,POR,2010
4,Jerryd Bayless,SG,6-3,200,August 20 1988,1,University of Arizona,POR,2010
2,Steve Blake,PG,6-3,172,February 26 1980,6,University of Maryland,POR,2010
21,Marcus Camby,C,6-11,220,March 22 1974,13,University of Massachusetts Amherst,POR,2010
33,Dante Cunningham,PF,6-8,230,April 22 1987,R,Villanova University,POR,2010
27,Travis Diener,PG,6-1,175,March 1 1982,4,Marquette University,POR,2010
5,Rudy Fernandez,SG,6-6,185,April 4 1985,1,,POR,2010
6,Juwan Howard,C,6-9,240,February 7 1973,15,University of Michigan,POR,2010
24,Andre Miller,PG,6-3,200,March 19 1976,10,University of Utah,POR,2010
8,Patrick Mills,PG,6-0,185,August 11 1988,R,Saint Mary's College of California,POR,2010
52,Greg Oden,C,7-0,250,January 22 1988,1,Ohio State University,POR,2010
25,Travis Outlaw,SF,6-9,210,September 18 1984,6,,POR,2010
10,Joel Przybilla,C,7-1,255,October 10 1979,9,University of Minnesota,POR,2010
42,Shavlik Randolph,PF,6-10,240,November 24 1983,4,Duke University,POR,2010
7,Brandon Roy,SG,6-6,215,July 23 1984,3,University of Washington,POR,2010
44,Anthony Tolliver,PF,6-8,240,June 1 1985,1,Creighton University,POR,2010
23,Martell Webster,SF,6-7,230,December 4 1986,4,,POR,2010
POR,2011
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,POR,2011
12,LaMarcus Aldridge,PF,6-11,240,July 19 1985,4,University of Texas at Austin,POR,2011
11,Luke Babbitt,SF,6-9,225,June 20 1989,R,University of Nevada Reno,POR,2011
40,Earl Barron,C,7-0,250,August 14 1981,4,University of Memphis,POR,2011
88,Nicolas Batum,SF,6-8,200,December 14 1988,2,,POR,2011
23,Marcus Camby,C,6-11,220,March 22 1974,14,University of Massachusetts Amherst,POR,2011
31,Jarron Collins,C,6-11,255,December 2 1978,9,Stanford University,POR,2011
33,Dante Cunningham,PF,6-8,230,April 22 1987,1,Villanova University,POR,2011
5,Rudy Fernandez,SG,6-6,185,April 4 1985,2,,POR,2011
1,Armon Johnson,PG,6-3,195,February 23 1989,R,University of Nevada Reno,POR,2011
17,Chris Johnson,C,6-11,210,July 15 1985,R,Louisiana State University,POR,2011
4,Sean Marks,C,6-10,250,August 23 1975,10,University of California,POR,2011
2,Wesley Matthews,SG,6-5,220,October 14 1986,1,Marquette University,POR,2011
24,Andre Miller,PG,6-3,200,March 19 1976,11,University of Utah,POR,2011
8,Patrick Mills,PG,6-0,185,August 11 1988,1,Saint Mary's College of California,POR,2011
21,Fabricio Oberto,C,6-10,245,March 21 1975,5,,POR,2011
10,Joel Przybilla,C,7-1,255,October 10 1979,10,University of Minnesota,POR,2011
7,Brandon Roy,SG,6-6,215,July 23 1984,4,University of Washington,POR,2011
3,Gerald Wallace,PF,6-7,215,July 23 1982,9,University of Alabama,POR,2011
POR,2012
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,POR,2012
12,LaMarcus Aldridge,PF,6-11,240,July 19 1985,5,University of Texas at Austin,POR,2012
8,Luke Babbitt,SF,6-9,225,June 20 1989,1,University of Nevada Reno,POR,2012
88,Nicolas Batum,SF,6-8,200,December 14 1988,3,,POR,2012
23,Marcus Camby,C,6-11,220,March 22 1974,15,University of Massachusetts Amherst,POR,2012
11,Jamal Crawford,PG,6-5,195,March 20 1980,11,University of Michigan,POR,2012
5,Raymond Felton,PG,6-1,205,June 26 1984,6,University of North Carolina,POR,2012
3,Jonny Flynn,PG,6-0,185,February 6 1989,2,Syracuse University,POR,2012
21,J.J. Hickson,PF,6-9,242,September 4 1988,3,North Carolina State University,POR,2012
1,Armon Johnson,PG,6-3,195,February 23 1989,1,University of Nevada Reno,POR,2012
17,Chris Johnson,C,6-11,210,July 15 1985,1,Louisiana State University,POR,2012
2,Wesley Matthews,SG,6-5,220,October 14 1986,2,Marquette University,POR,2012
10,Joel Przybilla,C,7-1,255,October 10 1979,11,University of Minnesota,POR,2012
83,Craig Smith,PF,6-7,250,November 10 1983,5,Boston College,POR,2012
4,Nolan Smith,PG,6-2,185,July 25 1988,R,Duke University,POR,2012
34,Hasheem Thabeet,C,7-3,263,February 16 1987,2,University of Connecticut,POR,2012
40,Kurt Thomas,C,6-9,230,October 4 1972,16,Texas Christian University,POR,2012
3,Gerald Wallace,SF,6-7,215,July 23 1982,10,University of Alabama,POR,2012
9,Elliot Williams,SG,6-5,190,June 20 1989,R,University of Memphis,POR,2012
POR,2013
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,POR,2013
12,LaMarcus Aldridge,PF,6-11,240,July 19 1985,6,University of Texas at Austin,POR,2013
8,Luke Babbitt,PF,6-9,225,June 20 1989,2,University of Nevada Reno,POR,2013
5,Will Barton,SG,6-6,175,January 6 1991,R,University of Memphis,POR,2013
88,Nicolas Batum,SF,6-8,200,December 14 1988,4,,POR,2013
18,Victor Claver,SF,6-9,224,August 30 1988,R,,POR,2013
19,Joel Freeland,PF,6-10,250,February 7 1987,R,,POR,2013
21,J.J. Hickson,C,6-9,242,September 4 1988,4,North Carolina State University,POR,2013
1,Jared Jeffries,PF,6-11,230,November 25 1981,10,Indiana University,POR,2013
11,Meyers Leonard,C,7-1,245,February 27 1992,R,University of Illinois at Urbana-Champaign,POR,2013
0,Damian Lillard,PG,6-3,195,July 15 1990,R,Weber State University,POR,2013
2,Wesley Matthews,SG,6-5,220,October 14 1986,3,Marquette University,POR,2013
6,Eric Maynor,SG,6-3,175,June 11 1987,3,Virginia Commonwealth University,POR,2013
3,Sasha Pavlovic,SG,6-8,220,November 15 1983,9,,POR,2013
24,Ronnie Price,PG,6-2,190,June 21 1983,7,Utah Valley State College,POR,2013
4,Nolan Smith,PG,6-2,185,July 25 1988,1,Duke University,POR,2013
POR,2014
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,POR,2014
12,LaMarcus Aldridge,PF,6-11,240,July 19 1985,7,University of Texas at Austin,POR,2014
5,Will Barton,SG,6-6,175,January 6 1991,1,University of Memphis,POR,2014
88,Nicolas Batum,SF,6-8,200,December 14 1988,5,,POR,2014
18,Victor Claver,SF,6-9,224,August 30 1988,1,,POR,2014
23,Allen Crabbe,SG,6-6,210,April 9 1992,R,University of California,POR,2014
19,Joel Freeland,C,6-10,250,February 7 1987,1,,POR,2014
11,Meyers Leonard,C,7-1,245,February 27 1992,1,University of Illinois at Urbana-Champaign,POR,2014
0,Damian Lillard,PG,6-3,195,July 15 1990,1,Weber State University,POR,2014
42,Robin Lopez,C,7-0,255,April 1 1988,5,Stanford University,POR,2014
2,Wesley Matthews,SG,6-5,220,October 14 1986,4,Marquette University,POR,2014
3,C.J. McCollum,SG,6-4,200,September 19 1991,R,Lehigh University,POR,2014
41,Thomas Robinson,PF,6-10,237,March 17 1991,1,University of Kansas,POR,2014
17,Earl Watson,PG,6-1,195,June 12 1979,12,University of California Los Angeles,POR,2014
25,Mo Williams,PG,6-1,198,December 19 1982,10,University of Alabama,POR,2014
1,Dorell Wright,SF,6-7,200,December 2 1985,9,,POR,2014
POR,2015
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,POR,2015
4,Arron Afflalo,SG,6-5,210,October 15 1985,7,University of California Los Angeles,POR,2015
12,LaMarcus Aldridge,PF,6-11,240,July 19 1985,8,University of Texas at Austin,POR,2015
5,Will Barton,SG,6-6,175,January 6 1991,2,University of Memphis,POR,2015
88,Nicolas Batum,SF,6-8,200,December 14 1988,6,,POR,2015
5,Steve Blake,PG,6-3,172,February 26 1980,11,University of Maryland,POR,2015
18,Victor Claver,SF,6-9,224,August 30 1988,2,,POR,2015
23,Allen Crabbe,SG,6-6,210,April 9 1992,1,University of California,POR,2015
10,Tim Frazier,PG,6-1,170,November 1 1990,R,Pennsylvania State University,POR,2015
19,Joel Freeland,C,6-10,250,February 7 1987,2,,POR,2015
33,Alonzo Gee,SF,6-6,225,May 29 1987,5,University of Alabama,POR,2015
35,Chris Kaman,C,7-0,265,April 28 1982,11,Central Michigan University,POR,2015
11,Meyers Leonard,C,7-1,245,February 27 1992,2,University of Illinois at Urbana-Champaign,POR,2015
0,Damian Lillard,PG,6-3,195,July 15 1990,2,Weber State University,POR,2015
42,Robin Lopez,C,7-0,255,April 1 1988,6,Stanford University,POR,2015
2,Wesley Matthews,SG,6-5,220,October 14 1986,5,Marquette University,POR,2015
3,C.J. McCollum,SG,6-4,200,September 19 1991,1,Lehigh University,POR,2015
41,Thomas Robinson,PF,6-10,237,March 17 1991,2,University of Kansas,POR,2015
1,Dorell Wright,SF,6-7,200,December 2 1985,10,,POR,2015
SAC,2005
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAC,2005
9,Matt Barnes,SF,6-7,226,March 9 1980,1,University of California Los Angeles,SAC,2005
10,Mike Bibby,PG,6-1,190,May 13 1978,6,University of Arizona,SAC,2005
33,Michael Bradley,PF,6-10,245,April 18 1979,3,Villanova University,SAC,2005
13,Doug Christie,SG,6-6,200,May 9 1970,12,Pepperdine University,SAC,2005
15,Erik Daniels,SF,6-8,214,April 1 1982,R,University of Kentucky,SAC,2005
5,Maurice Evans,SG,6-5,220,November 8 1978,1,University of Texas at Austin,SAC,2005
50,Eddie House,PG,6-1,180,May 14 1978,4,Arizona State University,SAC,2005
24,Bobby Jackson,SG,6-1,185,March 13 1973,7,University of Minnesota,SAC,2005
23,Kevin Martin,PG,6-7,199,February 1 1983,R,Western Carolina University,SAC,2005
52,Brad Miller,C,6-11,244,April 12 1976,6,Purdue University,SAC,2005
3,Cuttino Mobley,SG,6-4,190,September 1 1975,6,University of Rhode Island,SAC,2005
00,Greg Ostertag,C,7-2,280,March 6 1973,9,University of Kansas,SAC,2005
54,Brian Skinner,C,6-9,255,May 19 1976,6,Baylor University,SAC,2005
25,Darius Songaila,PF,6-9,248,February 14 1978,1,Wake Forest University,SAC,2005
16,Peja Stojakovic,SF,6-9,220,June 9 1977,6,,SAC,2005
9,Kenny Thomas,PF,6-7,261,July 25 1977,5,University of New Mexico,SAC,2005
4,Chris Webber,PF,6-9,245,March 1 1973,11,University of Michigan,SAC,2005
34,Corliss Williamson,PF,6-7,245,December 4 1973,9,University of Arkansas,SAC,2005
SAC,2006
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAC,2006
3,Shareef Abdur-Rahim,PF,6-9,225,December 11 1976,9,University of California,SAC,2006
10,Mike Bibby,PG,6-1,190,May 13 1978,7,University of Arizona,SAC,2006
32,Francisco Garcia,SF,6-7,195,December 31 1981,R,University of Louisville,SAC,2006
5,Jason Hart,PG,6-3,185,April 29 1978,4,Syracuse University,SAC,2006
23,Kevin Martin,SG,6-7,199,February 1 1983,1,Western Carolina University,SAC,2006
52,Brad Miller,C,6-11,244,April 12 1976,7,Purdue University,SAC,2006
15,Sergei Monia,SF,6-8,220,April 15 1983,R,,SAC,2006
20,Vitaly Potapenko,C,6-10,280,March 21 1975,9,Wright State University,SAC,2006
7,Ronnie Price,PG,6-2,190,June 21 1983,R,Utah Valley State College,SAC,2006
31,Jamal Sampson,PF,6-11,235,May 15 1983,3,University of California,SAC,2006
54,Brian Skinner,PF,6-9,255,May 19 1976,7,Baylor University,SAC,2006
16,Peja Stojakovic,SF,6-9,220,June 9 1977,7,,SAC,2006
9,Kenny Thomas,PF,6-7,261,July 25 1977,6,University of New Mexico,SAC,2006
42,Bonzi Wells,SG,6-5,210,September 28 1976,7,Ball State University,SAC,2006
34,Corliss Williamson,SF,6-7,245,December 4 1973,10,University of Arkansas,SAC,2006
93,Metta World Peace,SF,6-6,260,November 13 1979,6,St. John's University,SAC,2006
SAC,2007
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAC,2007
3,Shareef Abdur-Rahim,C,6-9,225,December 11 1976,10,University of California,SAC,2007
10,Mike Bibby,PG,6-1,190,May 13 1978,8,University of Arizona,SAC,2007
8,Quincy Douby,PG,6-3,175,May 16 1984,R,Rutgers University,SAC,2007
32,Francisco Garcia,SF,6-7,195,December 31 1981,1,University of Louisville,SAC,2007
5,Jason Hart,PG,6-3,185,April 29 1978,5,Syracuse University,SAC,2007
23,Kevin Martin,SG,6-7,199,February 1 1983,2,Western Carolina University,SAC,2007
52,Brad Miller,C,6-11,244,April 12 1976,8,Purdue University,SAC,2007
20,Vitaly Potapenko,C,6-10,280,March 21 1975,10,Wright State University,SAC,2007
7,Ronnie Price,PG,6-2,190,June 21 1983,1,Utah Valley State College,SAC,2007
15,John Salmons,SG,6-7,210,December 12 1979,4,University of Miami,SAC,2007
24,Maurice Taylor,PF,6-9,260,October 30 1976,8,University of Michigan,SAC,2007
9,Kenny Thomas,PF,6-7,261,July 25 1977,7,University of New Mexico,SAC,2007
30,Justin Williams,C,6-10,225,May 12 1984,R,University of Wyoming,SAC,2007
34,Corliss Williamson,PF,6-7,245,December 4 1973,11,University of Arkansas,SAC,2007
93,Metta World Peace,SF,6-6,260,November 13 1979,7,St. John's University,SAC,2007
SAC,2008
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAC,2008
3,Shareef Abdur-Rahim,PF,6-9,225,December 11 1976,11,University of California,SAC,2008
10,Mike Bibby,PG,6-1,190,May 13 1978,9,University of Arizona,SAC,2008
8,Quincy Douby,PG,6-3,175,May 16 1984,1,Rutgers University,SAC,2008
32,Francisco Garcia,SF,6-7,195,December 31 1981,2,University of Louisville,SAC,2008
5,Orien Greene,SG,6-4,208,February 4 1982,2,University of Louisiana at Lafayette,SAC,2008
31,Spencer Hawes,C,7-1,245,April 28 1988,R,University of Washington,SAC,2008
5,Anthony Johnson,PG,6-3,190,October 2 1974,10,College of Charleston,SAC,2008
7,Dahntay Jones,SG,6-6,225,December 27 1980,4,Duke University,SAC,2008
23,Kevin Martin,SG,6-7,199,February 1 1983,3,Western Carolina University,SAC,2008
52,Brad Miller,C,6-11,244,April 12 1976,9,Purdue University,SAC,2008
33,Mikki Moore,PF,6-11,225,November 4 1975,9,University of Nebraska,SAC,2008
15,John Salmons,SG,6-7,210,December 12 1979,5,University of Miami,SAC,2008
9,Kenny Thomas,PF,6-7,261,July 25 1977,8,University of New Mexico,SAC,2008
19,Beno Udrih,PG,6-3,205,July 5 1982,3,,SAC,2008
13,Darryl Watkins,C,6-11,258,November 8 1984,R,Syracuse University,SAC,2008
30,Justin Williams,C,6-10,225,May 12 1984,1,University of Wyoming,SAC,2008
22,Shelden Williams,PF,6-9,250,October 21 1983,1,Duke University,SAC,2008
93,Metta World Peace,SF,6-6,260,November 13 1979,8,St. John's University,SAC,2008
42,Lorenzen Wright,C,6-11,225,November 4 1975,11,University of Memphis,SAC,2008
SAC,2009
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAC,2009
52,Calvin Booth,C,6-11,230,May 7 1976,9,Pennsylvania State University,SAC,2009
5,Bobby Brown,SG,6-2,175,September 24 1984,R,California State University Fullerton,SAC,2009
3,Ike Diogu,PF,6-8,250,September 11 1983,3,Arizona State University,SAC,2009
8,Quincy Douby,PG,6-3,175,May 16 1984,2,Rutgers University,SAC,2009
32,Francisco Garcia,SF,6-7,195,December 31 1981,3,University of Louisville,SAC,2009
90,Drew Gooden,PF,6-10,250,September 24 1981,6,University of Kansas,SAC,2009
20,Donte Greene,SF,6-11,226,February 21 1988,R,Syracuse University,SAC,2009
31,Spencer Hawes,C,7-1,245,April 28 1988,1,University of Washington,SAC,2009
24,Bobby Jackson,PG,6-1,185,March 13 1973,11,University of Minnesota,SAC,2009
23,Kevin Martin,SG,6-7,199,February 1 1983,4,Western Carolina University,SAC,2009
7,Rashad McCants,SG,6-4,207,September 25 1984,3,University of North Carolina,SAC,2009
52,Brad Miller,C,6-11,244,April 12 1976,10,Purdue University,SAC,2009
33,Mikki Moore,PF,6-11,225,November 4 1975,10,University of Nebraska,SAC,2009
5,Andres Nocioni,SF,6-7,225,November 30 1979,4,,SAC,2009
15,John Salmons,SF,6-7,210,December 12 1979,6,University of Miami,SAC,2009
15,Cedric Simmons,PF,6-9,235,January 3 1986,2,North Carolina State University,SAC,2009
17,Will Solomon,PG,6-1,185,July 20 1978,1,Clemson University,SAC,2009
9,Kenny Thomas,PF,6-7,261,July 25 1977,9,University of New Mexico,SAC,2009
34,Jason Thompson,PF,6-11,250,July 21 1986,R,Rider University,SAC,2009
19,Beno Udrih,PG,6-3,205,July 5 1982,4,,SAC,2009
22,Shelden Williams,PF,6-9,250,October 21 1983,2,Duke University,SAC,2009
SAC,2010
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAC,2010
8,Hilton Armstrong,C,6-11,235,November 11 1984,3,University of Connecticut,SAC,2010
40,Jon Brockman,PF,6-7,255,March 20 1987,R,University of Washington,SAC,2010
18,Omri Casspi,SF,6-9,225,June 22 1988,R,,SAC,2010
15,Joey Dorsey,PF,6-8,268,December 16 1983,1,University of Memphis,SAC,2010
13,Tyreke Evans,SG,6-6,220,September 19 1989,R,University of Memphis,SAC,2010
32,Francisco Garcia,SG,6-7,195,December 31 1981,4,University of Louisville,SAC,2010
20,Donte Greene,SF,6-11,226,February 21 1988,1,Syracuse University,SAC,2010
31,Spencer Hawes,C,7-1,245,April 28 1988,2,University of Washington,SAC,2010
24,Carl Landry,PF,6-9,248,September 19 1983,2,Purdue University,SAC,2010
23,Kevin Martin,SG,6-7,199,February 1 1983,5,Western Carolina University,SAC,2010
24,Desmond Mason,SF,6-7,224,October 11 1977,9,Oklahoma State University,SAC,2010
42,Sean May,C,6-9,266,April 4 1984,3,University of North Carolina,SAC,2010
7,Dominic McGuire,SF,6-9,220,October 20 1985,2,California State University Fresno,SAC,2010
5,Andres Nocioni,SF,6-7,225,November 30 1979,5,,SAC,2010
10,Sergio Rodriguez,PG,6-3,168,June 12 1986,3,,SAC,2010
17,Garrett Temple,SG,6-6,195,May 8 1986,R,Louisiana State University,SAC,2010
9,Kenny Thomas,PF,6-7,261,July 25 1977,10,University of New Mexico,SAC,2010
34,Jason Thompson,C,6-11,250,July 21 1986,1,Rider University,SAC,2010
3,Ime Udoka,SG,6-6,215,August 9 1977,5,Portland State University,SAC,2010
19,Beno Udrih,PG,6-3,205,July 5 1982,5,,SAC,2010
SAC,2011
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAC,2011
18,Omri Casspi,SF,6-9,225,June 22 1988,1,,SAC,2011
15,DeMarcus Cousins,C,6-11,270,August 13 1990,R,University of Kentucky,SAC,2011
10,Samuel Dalembert,C,6-11,255,May 10 1981,8,Seton Hall University,SAC,2011
13,Tyreke Evans,SG,6-6,220,September 19 1989,1,University of Memphis,SAC,2011
32,Francisco Garcia,SF,6-7,195,December 31 1981,5,University of Louisville,SAC,2011
20,Donte Greene,SF,6-11,226,February 21 1988,2,Syracuse University,SAC,2011
9,Luther Head,PG,6-3,185,November 26 1982,5,University of Illinois at Urbana-Champaign,SAC,2011
41,Darnell Jackson,PF,6-9,253,November 7 1985,2,University of Kansas,SAC,2011
5,Eugene Jeter,PG,5-11,175,December 2 1983,R,University of Portland,SAC,2011
24,Carl Landry,PF,6-9,248,September 19 1983,3,Purdue University,SAC,2011
3,Jermaine Taylor,SG,6-4,210,December 8 1986,1,University of Central Florida,SAC,2011
34,Jason Thompson,PF,6-11,250,July 21 1986,2,Rider University,SAC,2011
23,Marcus Thornton,SG,6-4,205,June 5 1987,1,Louisiana State University,SAC,2011
19,Beno Udrih,PG,6-3,205,July 5 1982,6,,SAC,2011
33,Hassan Whiteside,C,7-0,265,June 13 1989,R,Marshall University,SAC,2011
3,Antoine Wright,SG,6-7,210,February 6 1984,5,Texas A&amp;M University,SAC,2011
SAC,2012
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAC,2012
15,DeMarcus Cousins,C,6-11,270,August 13 1990,1,University of Kentucky,SAC,2012
13,Tyreke Evans,SG,6-6,220,September 19 1989,2,University of Memphis,SAC,2012
7,Jimmer Fredette,PG,6-2,195,February 25 1989,R,Brigham Young University,SAC,2012
32,Francisco Garcia,SF,6-7,195,December 31 1981,6,University of Louisville,SAC,2012
