ATL,2005
6,Mario West,SG,6-5,210,June 19 1984,1,Georgia Institute of Technology,ATL,2009
24,Marvin Williams,SF,6-9,237,June 19 1986,3,University of North Carolina,ATL,2009
ATL,2010
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,ATL,2010
10,Mike Bibby,PG,6-1,190,May 13 1978,11,University of Arizona,ATL,2010
34,Jason Collins,C,7-0,255,December 2 1978,8,Stanford University,ATL,2010
11,Jamal Crawford,SG,6-5,195,March 20 1980,9,University of Michigan,ATL,2010
1,Maurice Evans,SF,6-5,220,November 8 1978,6,University of Texas at Austin,ATL,2010
15,Al Horford,C,6-10,245,June 3 1986,2,University of Florida,ATL,2010
50,Othello Hunter,SF,6-8,225,May 28 1986,1,Ohio State University,ATL,2010
