SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,CFID,CFPARAMS
41999,1610612749,Milwaukee Bucks,82,42,40,0.512,3971,104.9,104.9,0,0.583,1.51,17.2,0.3,0.696,0.499,0.155,0.494,0.539,95.55,0.498,10,Milwaukee Bucks
41999,1610612750,Minnesota Timberwolves,82,50,32,0.61,3981,103.4,100.2,3.2,0.684,1.94,20,0.294,0.73,0.51,0.146,0.485,0.525,94.44,0.531,10,Minnesota Timberwolves
41999,1610612751,New Jersey Nets,82,31,51,0.378,3966,102.3,103.3,-1,0.567,1.51,15.9,0.281,0.672,0.47,0.142,0.468,0.517,95.14,0.479,10,New Jersey Nets
41999,1610612752,New York Knicks,82,50,32,0.61,3966,99.8,98.1,1.7,0.548,1.32,15.9,0.247,0.731,0.497,0.159,0.482,0.527,91.66,0.507,10,New York Knicks
41999,1610612753,Orlando Magic,82,41,41,0.5,3951,99.4,98.9,0.5,0.539,1.18,15.4,0.316,0.699,0.508,0.175,0.473,0.516,100.19,0.497,10,Orlando Magic
41999,1610612755,Philadelphia 76ers,82,49,33,0.598,3966,98.5,97.5,0.9,0.607,1.42,16.7,0.314,0.699,0.503,0.163,0.457,0.501,95.29,0.508,10,Philadelphia 76ers
41999,1610612756,Phoenix Suns,82,53,29,0.646,3961,101.8,96.2,5.6,0.678,1.53,18.9,0.293,0.705,0.503,0.172,0.491,0.532,96.67,0.542,10,Phoenix Suns
41999,1610612757,Portland Trail Blazers,82,59,23,0.72,3956,105.1,97.7,7.4,0.637,1.55,18.3,0.303,0.724,0.524,0.164,0.501,0.546,92.45,0.559,10,Portland Trail Blazers
41999,1610612758,Sacramento Kings,82,44,38,0.537,3961,101.9,99.9,2,0.596,1.47,17.1,0.277,0.697,0.486,0.157,0.486,0.526,101.91,0.513,10,Sacramento Kings
41999,1610612759,San Antonio Spurs,82,53,29,0.646,3971,102.8,95.7,7.1,0.616,1.48,17.5,0.278,0.73,0.514,0.161,0.488,0.535,93.13,0.556,10,San Antonio Spurs
41999,1610612760,Seattle SuperSonics,82,45,37,0.549,3956,102.6,101.8,0.8,0.604,1.63,17.3,0.285,0.696,0.488,0.145,0.487,0.52,96,0.496,10,Seattle SuperSonics
41999,1610612761,Toronto Raptors,82,45,37,0.549,3951,101.8,101.7,0,0.653,1.71,17.9,0.301,0.718,0.502,0.145,0.464,0.511,95.21,0.5,10,Toronto Raptors
41999,1610612762,Utah Jazz,82,55,27,0.671,3951,104,99.8,4.2,0.689,1.67,19.3,0.295,0.732,0.518,0.16,0.49,0.54,92.18,0.551,10,Utah Jazz
