SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PTS,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
42011,1610612757,Portland Trail Blazers,66,28,38,0.424,48.4,36.4,82.1,0.443,7.2,20.9,0.346,17.2,21.6,0.796,11.1,29.5,40.7,20.4,14.2,8.0,4.9,4.8,19.0,97.2,-0.6,102.8,103.7,-0.9,0.562,1.44,16.2,0.263,0.728,0.49,0.15,0.488,0.531,93.73,0.494
42011,1610612758,Sacramento Kings,66,22,44,0.333,48.2,37.7,86.5,0.436,6.2,19.7,0.316,17.1,23.2,0.736,13.4,29.5,42.9,19.3,14.4,8.5,4.9,6.4,19.5,98.8,-5.7,101.0,106.8,-5.8,0.51,1.34,14.8,0.291,0.705,0.488,0.147,0.472,0.51,97.34,0.451
42011,1610612759,San Antonio Spurs,66,50,16,0.758,48.3,39.6,82.8,0.478,8.4,21.3,0.393,16.2,21.6,0.748,10.3,32.6,43.0,23.2,13.6,7.4,4.4,5.0,17.3,103.7,7.2,108.5,100.6,7.9,0.585,1.71,17.9,0.251,0.76,0.511,0.142,0.528,0.562,95.09,0.546
42011,1610612761,Toronto Raptors,66,23,43,0.348,48.4,34.4,78.1,0.44,5.5,16.3,0.34,16.4,21.4,0.77,10.6,31.4,42.0,20.9,15.2,6.5,4.9,4.9,23.2,90.7,-3.3,98.5,101.5,-3.0,0.609,1.38,16.9,0.259,0.754,0.509,0.165,0.475,0.518,91.63,0.478
42011,1610612762,Utah Jazz,66,36,30,0.545,49.0,38.2,83.8,0.456,4.1,12.8,0.323,19.1,25.3,0.754,13.0,31.1,44.2,21.8,14.2,8.3,5.8,5.7,21.8,99.7,0.6,103.7,103.6,0.2,0.57,1.54,16.7,0.302,0.738,0.518,0.148,0.481,0.525,93.91,0.509
42011,1610612764,Washington Wizards,66,20,46,0.303,48.1,36.6,83.0,0.441,5.2,16.3,0.32,15.3,21.0,0.727,11.7,29.9,41.7,19.1,15.3,8.0,6.3,4.5,21.3,93.6,-4.8,97.8,103.8,-6.0,0.523,1.25,15.1,0.273,0.709,0.489,0.16,0.472,0.508,95.11,0.46
42012,1610612737,Atlanta Hawks,82,44,38,0.537,48.4,37.6,81.0,0.464,8.6,23.2,0.371,14.1,19.7,0.715,9.2,31.6,40.9,24.5,14.9,8.1,4.5,4.3,18.0,98.0,0.4,102.7,101.8,0.9,0.651,1.65,19.0,0.222,0.736,0.483,0.156,0.517,0.546,94.72,0.509
42012,1610612738,Boston Celtics,81,41,40,0.506,49.0,37.0,79.7,0.465,6.1,17.2,0.358,16.3,21.0,0.776,8.1,31.3,39.3,22.8,14.6,8.2,4.5,4.7,21.2,96.5,-0.2,101.1,100.4,0.7,0.614,1.56,18.0,0.201,0.733,0.475,0.153,0.503,0.542,93.98,0.507
42012,1610612751,Brooklyn Nets,82,49,33,0.598,48.4,35.9,79.8,0.45,7.7,21.5,0.357,17.5,23.9,0.731,12.8,30.0,42.8,20.3,14.7,7.3,4.8,4.8,18.3,96.9,1.8,105.0,103.6,1.4,0.567,1.38,16.2,0.309,0.737,0.522,0.159,0.498,0.536,91.23,0.509
42012,1610612766,Charlotte Bobcats,82,21,61,0.256,48.3,34.4,81.1,0.425,5.7,17.1,0.335,18.9,25.1,0.75,11.2,29.1,40.3,19.4,14.1,7.2,5.8,6.9,19.0,93.4,-9.2,98.3,108.9,-10.6,0.562,1.38,15.4,0.257,0.711,0.478,0.148,0.46,0.507,94.03,0.438
