SEASON_ID,TEAM_ID,GROUP_SET,PLAYER_ID,PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,PER
41996,1610612741,Players,23,Dennis Rodman,55,48,7,0.873,36.4,2.3,5.2,0.448,0.1,0.3,0.263,0.9,1.6,0.568,5.8,10.2,16.1,3.1,2.0,0.6,0.3,0.1,3.0,0.2,5.7,10.4,11,0,14.9434412721
41996,1610612741,Players,54,Dickey Simpkins,48,41,7,0.854,8.5,0.6,1.9,0.333,0.0,0.1,0.25,0.6,0.8,0.7,0.8,1.2,1.9,0.6,0.7,0.1,0.1,0.4,0.9,0.0,1.9,-0.1,0,0,5.84029270936
41996,1610612741,Players,679,Jason Caffey,75,62,13,0.827,19.4,2.7,5.1,0.532,0.0,0.0,0.0,1.9,2.8,0.659,1.8,2.2,4.0,1.2,1.3,0.3,0.1,0.5,1.7,0.0,7.3,2.7,3,0,15.4036907627
41996,1610612741,Players,146,Jud Buechler,76,65,11,0.855,9.6,0.8,2.1,0.367,0.2,0.7,0.333,0.1,0.2,0.357,0.6,1.1,1.7,0.8,0.4,0.3,0.3,0.1,0.6,0.0,1.8,0.9,0,0,10.878485822
41996,1610612741,Players,26,Luc Longley,59,49,10,0.831,25.5,3.7,8.2,0.456,0.0,0.0,0.0,1.6,2.0,0.792,2.1,3.6,5.6,2.4,1.9,0.4,1.1,0.8,2.7,0.0,9.1,5.0,2,0,14.464848883
41996,1610612741,Players,1099,Matt Steigenga,2,1,1,0.5,5.9,0.5,2.0,0.25,0.0,1.0,0.0,0.5,1.0,0.5,0.0,1.5,1.5,1.0,1.0,0.5,0.5,0.0,0.5,0.0,1.5,-2.0,0,0,7.40496980552
41996,1610612741,Players,893,Michael Jordan,82,69,13,0.841,39.1,11.2,23.1,0.486,1.4,3.6,0.374,5.9,7.0,0.833,1.4,4.5,5.9,4.3,2.0,1.7,0.5,0.6,1.9,0.0,29.6,10.0,9,1,30.9949963327
41996,1610612741,Players,753,Randy Brown,72,61,11,0.847,15.3,1.9,4.6,0.42,0.1,0.3,0.182,0.8,1.2,0.679,0.5,1.1,1.5,1.8,0.8,1.1,0.2,0.2,1.5,0.0,4.7,2.5,0,0,13.2761466748
41996,1610612741,Players,305,Robert Parish,43,36,7,0.837,9.7,1.6,3.3,0.49,0.0,0.0,0.0,0.5,0.7,0.677,1.0,1.1,2.1,0.5,0.7,0.1,0.4,0.2,0.8,0.0,3.7,2.4,0,0,14.8842434655
41996,1610612741,Players,166,Ron Harper,76,64,12,0.842,23.4,2.3,5.3,0.436,0.9,2.5,0.362,0.8,1.1,0.707,0.6,1.9,2.5,2.5,0.7,1.1,0.5,0.1,1.7,0.0,6.3,5.6,0,0,14.6073829666
41996,1610612741,Players,937,Scottie Pippen,82,69,13,0.841,38.9,7.9,16.7,0.474,1.9,5.2,0.368,2.5,3.5,0.701,2.0,4.5,6.5,5.7,2.6,1.9,0.5,0.6,2.5,0.0,20.2,9.8,14,0,23.5332266041
41996,1610612741,Players,70,Steve Kerr,82,69,13,0.841,23.4,3.0,5.7,0.533,1.3,2.9,0.464,0.7,0.8,0.806,0.4,1.2,1.6,2.1,0.5,0.8,0.0,0.1,1.2,0.0,8.1,4.8,0,0,16.8674727831
41996,1610612741,Players,389,Toni Kukoc,57,50,7,0.877,29.3,5.0,10.6,0.471,0.9,2.6,0.331,2.4,3.1,0.77,1.6,2.9,4.6,4.5,1.6,1.1,0.5,0.4,1.7,0.0,13.2,8.3,5,0,22.3847097404
41996,1610612739,Players,226,Antonio Lang,64,32,32,0.5,13.8,1.1,2.5,0.42,0.0,0.1,0.0,0.5,0.8,0.729,0.8,1.2,2.0,0.5,0.8,0.5,0.5,0.3,1.7,0.0,2.7,0.0,0,0,7.04037428513
41996,1610612739,Players,682,Bob Sura,82,42,40,0.512,28.8,3.1,7.2,0.431,0.6,2.0,0.323,2.4,3.9,0.614,0.9,2.8,3.8,4.8,2.2,1.1,0.4,0.6,2.5,0.1,9.2,0.1,5,0,14.5037003432
41996,1610612739,Players,184,Bobby Phills,69,36,33,0.522,35.5,4.8,11.1,0.428,1.2,3.1,0.394,1.8,2.5,0.718,0.9,2.6,3.6,3.4,2.0,1.6,0.3,0.7,2.3,0.0,12.6,1.6,1,0,13.9764453197
41996,1610612739,Players,1063,Carl Thomas,19,13,6,0.684,4.2,0.5,1.3,0.375,0.1,0.6,0.167,0.1,0.1,1.0,0.2,0.5,0.7,0.4,0.3,0.1,0.1,0.0,0.3,0.0,1.1,-0.8,0,0,10.2129872159
41996,1610612739,Players,168,Chris Mills,80,41,39,0.513,41.0,5.1,11.2,0.453,1.1,2.8,0.391,2.2,2.6,0.842,1.5,4.7,6.2,2.5,1.5,1.1,0.5,0.6,2.7,0.0,13.4,2.7,8,0,14.1744987848
41996,1610612739,Players,198,Danny Ferry,82,42,40,0.512,33.2,4.2,9.7,0.429,1.4,3.5,0.401,0.9,1.1,0.851,1.0,3.1,4.1,1.8,1.1,0.7,0.4,0.3,2.7,0.0,10.6,1.8,0,0,11.6772504848
41996,1610612739,Players,681,Donny Marshall,56,25,31,0.446,10.4,0.9,2.9,0.325,0.6,1.6,0.379,0.7,1.0,0.704,0.4,0.9,1.3,0.4,0.6,0.4,0.1,0.2,1.0,0.0,3.1,-2.0,0,0,7.81391595652
41996,1610612739,Players,770,Mark West,70,36,34,0.514,14.2,1.4,2.6,0.556,0.0,0.0,0.0,0.4,0.8,0.482,1.0,1.7,2.7,0.3,0.7,0.2,0.8,0.3,1.8,0.0,3.2,0.6,1,0,9.51257496713
41996,1610612739,Players,1002,Reggie Geary,39,22,17,0.564,6.5,0.6,1.5,0.379,0.2,0.5,0.381,0.1,0.3,0.455,0.1,0.3,0.4,0.9,0.4,0.3,0.1,0.0,0.9,0.0,1.5,0.5,0,0,7.72047854104
41996,1610612739,Players,1035,Shawnelle Scott,16,4,12,0.25,3.3,0.5,1.0,0.5,0.0,0.0,0.0,0.3,0.7,0.364,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,1.3,0.1,0,0,18.8334078281
41996,1610612739,Players,210,Terrell Brandon,78,40,38,0.513,38.0,7.4,16.8,0.438,1.3,3.5,0.373,3.4,3.8,0.902,0.6,3.2,3.9,6.3,2.3,1.8,0.4,0.3,2.1,0.0,19.5,1.6,8,0,21.9294839272
41996,1610612739,Players,238,Tyrone Hill,74,40,34,0.541,36.0,4.8,8.0,0.6,0.0,0.0,0.0,3.3,5.1,0.633,3.5,6.4,9.9,1.2,2.0,0.9,0.4,1.0,3.2,0.0,12.9,3.3,34,0,17.8315746644
41996,1610612739,Players,958,Vitaly Potapenko,80,40,40,0.5,16.1,2.3,5.3,0.44,0.0,0.0,0.5,1.2,1.6,0.736,1.3,1.4,2.7,0.5,1.4,0.3,0.4,0.5,2.4,0.1,5.8,-0.5,0,0,8.15888362165
41996,1610612742,Players,920,A.C. Green,56,15,41,0.268,35.7,3.1,6.4,0.486,0.0,0.3,0.059,1.7,2.7,0.651,3.4,5.9,9.3,0.9,1.0,0.9,0.3,0.5,1.9,0.0,7.9,-4.0,15,0,13.4390826478
41996,1610612742,Players,423,Chris Gatling,44,16,28,0.364,28.0,7.0,13.2,0.533,0.0,0.1,0.167,5.0,7.1,0.706,2.9,5.0,7.9,0.6,2.6,0.8,0.7,0.8,2.6,0.1,19.1,-1.4,15,0,26.2390155241
41996,1610612742,Players,157,Derek Harper,75,23,52,0.307,30.6,4.0,9.0,0.444,0.8,2.3,0.341,1.3,1.7,0.742,0.4,1.4,1.8,4.3,1.8,1.2,0.2,0.2,1.9,0.0,10.0,-3.9,3,0,13.7606440845
41996,1610612742,Players,709,Ed O'Bannon,19,3,16,0.158,9.5,0.9,3.8,0.236,0.1,0.5,0.1,0.6,0.6,0.917,0.5,1.4,1.9,0.6,0.3,0.3,0.1,0.3,0.9,0.0,2.4,-1.9,0,0,5.56465539902
41996,1610612742,Players,376,Eric Montross,47,16,31,0.34,21.5,1.9,4.0,0.463,0.0,0.0,0.0,0.2,0.7,0.294,1.4,3.6,5.0,0.7,1.1,0.2,0.7,0.4,2.7,0.0,3.9,-4.4,0,0,6.92609467848
41996,1610612742,Players,1065,Erick Strickland,28,8,20,0.286,27.8,3.6,9.1,0.398,1.0,3.3,0.304,2.3,2.9,0.813,0.8,2.5,3.2,2.4,2.4,1.0,0.2,0.5,2.5,0.0,10.6,-2.5,0,0,11.3149638078
41996,1610612742,Players,122,Fred Roberts,12,4,8,0.333,3.6,0.5,1.3,0.4,0.0,0.0,0.0,0.8,1.2,0.714,0.2,0.7,0.8,0.0,0.4,0.0,0.1,0.3,0.2,0.0,1.8,-0.7,0,0,11.9142584144
41996,1610612742,Players,45,George McCloud,41,15,26,0.366,30.4,5.0,11.7,0.422,1.9,5.0,0.377,1.9,2.2,0.837,0.7,2.8,3.5,2.2,1.2,1.3,0.2,0.5,2.4,0.0,13.7,-1.7,0,0,17.5034995014
41996,1610612742,Players,1068,Greg Dreiling,40,7,33,0.175,10.1,0.9,1.9,0.459,0.0,0.0,1.0,0.3,0.7,0.407,0.5,1.4,1.9,0.3,0.2,0.2,0.2,0.2,1.5,0.0,2.0,-0.9,0,0,7.71258528629
41996,1610612742,Players,469,Jamal Mashburn,37,11,26,0.297,27.2,3.8,10.2,0.372,1.1,3.5,0.321,1.9,3.0,0.649,0.8,2.4,3.1,2.5,1.5,0.9,0.1,0.8,1.9,0.0,10.6,-4.6,0,0,12.2764968586
41996,1610612742,Players,320,Jamie Watson,10,2,8,0.2,21.9,2.0,4.7,0.426,0.3,0.9,0.333,0.2,0.4,0.5,1.4,1.5,2.9,2.3,1.5,1.1,0.2,0.2,1.6,0.0,4.5,-3.9,0,0,10.2031912483
41996,1610612742,Players,467,Jason Kidd,22,8,14,0.364,37.5,3.4,9.2,0.369,1.0,3.0,0.323,2.1,3.1,0.667,1.4,2.7,4.1,9.1,3.0,2.0,0.4,0.5,1.9,0.0,9.9,-4.2,5,0,16.3245280317
41996,1610612742,Players,987,Jason Sasser,2,0,2,0.0,3.3,0.5,2.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,2.0,0,0,17.4339797606
